hp_id	english	french
HP:0033027	Retinal peau d'orange	Peau d'orange rétinienne
HP:0033028	Anti-U1 ribonucleoprotein antibody positivity	Positivité des anticorps anti-ribonucléoprotéine U1
HP:0033030	Anti-glomerular basement membrane-antibody positivity	Positivité des anticorps anti-membrane basale glomérulaire
HP:0033031	Hyperpyrexia	Hyperpyrexie
HP:0033033	Anti-MDA5 antibody positivity	Positivité des anticorps anti-MDA5
HP:0033034	Anti-citrullinated protein antibody positivity	Positivité aux anticorps anti-protéine citrullinée
HP:0033035	Abnormal Schwann cell morphology	Morphologie anormale des cellules de Schwann
HP:0033036	Decreased nasal nitric oxide	Diminution de l'oxyde nitrique nasal
HP:0033037	Migratory arthritis	Arthrite migratrice
HP:0033038	Anti-RNA-polymerase-III-autoantibody positivity	Positivité anti-ARN-polymérase-III-auto-anticorps
HP:0033039	Increased circulating precipitin level	Augmentation du taux de précipitations circulantes
HP:0033040	Anti-Sm antibody positivity	Positivité aux anticorps anti-Sm
HP:0033041	Cytokine storm	Tempête de cytokines
HP:0033042	Abnormal chorion morphology	Morphologie anormale du chorion
HP:0033043	Edematous chorionic villi	Villosités choriales œdémateuses
HP:0033044	Motor regression	Régression motrice
HP:0033045	Bipedal edema	Œdème bipède
HP:0033046	Michaelis-Gutmann bodies	Corps de Michaelis-Gutmann
HP:0033047	Body ache	Mal au corps
HP:0033048	Substantia nigra hypointensity on susceptibility-weighted imaging	Hypointensité de la substance noire sur l'imagerie pondérée en fonction de la sensibilité
HP:0033049	Globus pallidus hypointensity on susceptibility-weighted imaging	Hypointensité du Globus pallidus en imagerie pondérée en fonction de la susceptibilité
HP:0033050	Pharyngalgia	Pharyngalgie
HP:0033051	Impaired executive functioning	Fonctionnement exécutif altéré
HP:0033052	Non-epileptic seizure	Crise non épileptique
HP:0033053	Pseudoseizure	Pseudose-saisie
HP:0033054	Myoclonic tremor	Tremblement myoclonique
HP:0033055	Impaired ability to plan	Capacité réduite à planifier
HP:0033056	Impaired ability to organize	Capacité réduite à s’organiser
HP:0033057	Decreased circulating terminal complement component concentration	Diminution de la concentration en composants terminaux du complément circulant
HP:0033058	Decreased circulating complement C7 concentration	Diminution de la concentration circulante du complément C7
HP:0033059	Decreased circulating complement C6 concentration	Diminution de la concentration circulante du complément C6
HP:0033060	Decreased circulating complement C5 concentration	Diminution de la concentration circulante du complément C5
HP:0033061	Increased factor IX activity	Augmentation de l'activité du facteur IX
HP:0033062	Abnormal factor IX activity	Activité anormale du facteur IX
HP:0033063	Shortened sleep phase	Phase de sommeil raccourcie
HP:0033064	Renal interstitial globotriaosylceramide inclusions	Inclusions de globotriaosylcéramide interstitiel rénal
HP:0033065	Mild albuminuria	Légère albuminurie
HP:0033066	Severe albuminuria	Albuminurie sévère
HP:0033067	Cystine crystalluria	Cristallurie à cystine
HP:0033068	Medication crystalluria	Cristallurie médicamenteuse
HP:0033069	Renal interstitial IgG4+ plasma cell infiltration	Infiltration de plasmocytes IgG4+ interstitiels rénaux
HP:0033070	Impaired self monitoring	Autosurveillance altérée
HP:0033071	Impaired task monitoring	Surveillance des tâches altérée
HP:0033072	Abnormal macroscopic urine appearance	Aspect macroscopique anormal des urines
HP:0033073	Urate tophus	Tophus urate
HP:0033074	Steroid-responsive anemia	Anémie sensible aux stéroïdes
HP:0033075	Inappropriately normal thyroid-stimulating hormone level	Niveau de thyréostimuline anormalement normal
HP:0033076	Abnormal circulating free T4 concentration	Concentration anormale de T4 libre circulante
HP:0033077	Increased circulating free T4 concentration	Augmentation de la concentration de T4 libre circulante
HP:0033078	Decreased circulating free T4 concentration	Diminution de la concentration de T4 libre circulante
HP:0033079	Aplasia/Hypoplasia of the thyroid gland	Aplasie/hypoplasie de la glande thyroïde
HP:0033080	Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	Réponse anormale de la TSH au test de stimulation de la thyrolibérine
HP:0033081	Absent TSH response to thyrotrophin-releasing hormone stimulation test	Absence de réponse TSH au test de stimulation de la thyrolibérine
HP:0033082	Reduced TSH response to thyrotrophin-releasing hormone stimulation test	Réponse réduite de la TSH au test de stimulation de la thyrolibérine
HP:0033083	Increased circulating farnesol concentration	Augmentation de la concentration de farnésol circulant
HP:0033084	Abnormal antral follicle count	Nombre anormal de follicules antraux
HP:0033085	Reduced antral follicle count	Nombre réduit de follicules antraux
HP:0033086	Increased antral follicle count	Augmentation du nombre de follicules antraux
HP:0033087	Quotidian fever	Fièvre quotidienne
HP:0033088	Valinuria	Valinurie
HP:0033089	Branched-chain aminoaciduria	Aminoacidurie à chaîne ramifiée
HP:0033090	Increased aromatic amino acid level in urine	Augmentation du taux d’acides aminés aromatiques dans l’urine
HP:0033091	Tyrosinuria	Tyrosinurie
HP:0033092	Increased urine succinate level	Augmentation du taux de succinate dans l'urine
HP:0033093	Increased glutamine family amino acid level in urine	Augmentation du taux d'acides aminés de la famille des glutamines dans l'urine
HP:0033094	Increased urine glutamate level	Augmentation du taux de glutamate urinaire
HP:0033095	Increased sulfur amino acid level in urine	Augmentation du niveau d’acides aminés soufrés dans l’urine
HP:0033096	Increased aspartate family amino acid level in urine	Augmentation du taux d'acides aminés de la famille de l'aspartate dans l'urine
HP:0033097	Increased urine proteinogenic amino acid derivative level	Augmentation du taux de dérivés d'acides aminés protéinogènes dans l'urine
HP:0033098	Increased urinary non-proteinogenic amino acid level	Augmentation du taux urinaire d’acides aminés non protéinogènes
HP:0033099	Increased serine family amino acid in urine	Augmentation des acides aminés de la famille des sérines dans l'urine
HP:0033100	Increased proteinogenic amino acid level in urine	Augmentation du taux d'acides aminés protéinogènes dans l'urine
HP:0033101	Elevated urine aconitic acid level	Niveau élevé d'acide aconitique dans l'urine
HP:0033102	Monkey wrench femoral neck	Clé à molette col fémoral
HP:0033103	Elevated circulating CHI3L1 level	Niveau CHI3L1 circulant élevé
HP:0033104	Inappropriate absence of fever	Absence inappropriée de fièvre
HP:0033105	Interhypothalamic adhesion	Adhérence interhypothalamique
HP:0033106	Elevated circulating D-dimer concentration	Concentration élevée de D-dimères circulants
HP:0033107	Abnormal circulating proteinogenic amino acid concentration	Concentration anormale d'acides aminés protéinogènes circulants
HP:0033108	Abnormal circulating proteinogenic amino acid derivative concentration	Concentration anormale de dérivés d'acides aminés protéinogènes circulants
HP:0033109	Abnormal circulating non-proteinogenic amino acid concentration	Concentration anormale d’acides aminés non protéinogènes circulants
HP:0033110	Elevated circulating alpha-aminobutyric acid concentration	Concentration élevée d’acide alpha-aminobutyrique circulant
HP:0033111	3-hydroxyisovaleric aciduria	Acidurie 3-hydroxyisovalérique
HP:0033112	Elevated circulating apolipoprotein C-III concentration	Concentration élevée d'apolipoprotéine C-III circulante
HP:0033113	Gallop rhythm	Rythme de galop
HP:0033114	Quadruple gallop rhythm	Rythme du quadruple galop
HP:0033115	Elevated circulating tenascin-C concentration	Concentration élevée de ténascine-C circulante
HP:0033116	Duodenal gastric metaplasia	Métaplasie gastrique duodénale
HP:0033117	Duodenitis	Duodénite
HP:0033118	Abnormal right ventricular function	Fonction ventriculaire droite anormale
HP:0033119	Elevated right ventricular systolic pressure	Pression systolique ventriculaire droite élevée
HP:0033120	Nummular eczema	Eczéma nummulaire
HP:0033121	Barking cough	Toux aboyante
HP:0033122	Absent P wave	Onde P absente
HP:0033123	Elevated circulating osteopontin level	Niveau élevé d’ostéopontine circulante
HP:0033124	Increased serum sorbitol concentration	Augmentation de la concentration sérique de sorbitol
HP:0033125	Follicular lymphoma	Lymphome folliculaire
HP:0033126	Cutaneous necrosis	Nécrose cutanée
HP:0033127	Abnormality of the musculoskeletal system	Anomalie du système musculo-squelettique
HP:0033128	Delayed ability to crawl	Capacité retardée à explorer
HP:0033129	Abnormal shoulder physiology	Physiologie anormale de l'épaule
HP:0033130	Abnormal renal echogenicity	Echogénicité rénale anormale
HP:0033131	Renal medullary hyperechogenicity	Hyperéchogénicité médullaire rénale
HP:0033132	Renal cortical hyperechogenicity	Hyperéchogénicité corticale rénale
HP:0033133	Renal cortical hypoechogeneity	Hypoéchogénéité corticale rénale
HP:0033134	Abdominal adhesions	Adhérences abdominales
HP:0033135	Hepatic infarction	Infarctus hépatique
HP:0033136	Lymph node abscess	Abcès des ganglions lymphatiques
HP:0033137	Abnormal pulmonary alveolar system morphology	Morphologie anormale du système alvéolaire pulmonaire
HP:0033138	Right atrial thrombus	Thrombus auriculaire droit
HP:0033139	Elevated circulating uracil concentration	Concentration élevée d'uracile circulante
HP:0033140	Blake's pouch cyst	Kyste de la poche de Blake
HP:0033141	Severe SARS-CoV-2 infection	Infection grave par le SRAS-CoV-2
HP:0033142	Long nasal bridge	Pont nasal long
HP:0033143	Jejunitis	Jéjunite
HP:0033144	Abnormal circulating ceruloplasmin concentration	Concentration anormale de céruloplasmine circulante
HP:0033145	Increased circulating ceruloplasmin concentration	Augmentation de la concentration circulante de céruloplasmine
HP:0033146	Elevated circulating methylsuccinic acid concentration	Concentration élevée d’acide méthylsuccinique en circulation
HP:0033147	Abnormal circulating short-chain fatty-acid concentration	Concentration anormale d'acides gras à chaîne courte circulants
HP:0033148	Increased circulating isovaleric acid concentration	Augmentation de la concentration en acide isovalérique en circulation
HP:0033149	Intrahepatic bile duct dilatation	Dilatation intrahépatique des voies biliaires
HP:0033150	Anorectal abscess	Abcès ano-rectal
HP:0033151	Abnormal pharynx morphology	Morphologie anormale du pharynx
HP:0033152	Abnormal pharynx physiology	Physiologie anormale du pharynx
HP:0033153	Elevated circulating dodecenoylcarnitine concentration	Concentration élevée de dodécénoylcarnitine circulante
HP:0033154	Elevated circulating deoxypyridinoline concentration	Concentration élevée de désoxypyridinoline circulante
HP:0033155	Elevated circulating L-alloisoleucine concentration	Concentration élevée de L-alloisoleucine circulante
HP:0033156	Elevated urine L-alloisoleucine level	Taux urinaire élevé de L-alloisoleucine
HP:0033157	Elevated circulating 3-methylhistidine concentration	Concentration élevée de 3-méthylhistidine circulante
HP:0033158	Reduced respiratory ciliary beating frequency	Fréquence réduite des battements ciliaires respiratoires
HP:0033159	Reduced urinary inosine level	Niveau d’inosine urinaire réduit
HP:0033160	Decreased urinary guanosine level	Diminution du taux de guanosine urinaire
HP:0033161	Abnormal urinary purine level	Niveau de purine urinaire anormal
HP:0033162	Abnormal urinary pyrimidine level	Taux urinaire anormal de pyrimidine
HP:0033163	Small intestinal bacterial overgrowth	Prolifération bactérienne de l'intestin grêle
HP:0033164	Focal active colitis	Colite active focale
HP:0033165	Necrotizing enterocolitis	Entérocolite nécrosante
HP:0033166	Recurrent viral upper respiratory tract infections	Infections virales récurrentes des voies respiratoires supérieures
HP:0033167	Neutrophilic urticarial dermatosis	Dermatose urticarienne neutrophile
HP:0033168	Reduced mevalonate kinase activity	Activité mévalonate kinase réduite
HP:0033169	Reduced total lung capacity	Capacité pulmonaire totale réduite
HP:0033170	Abnormal skinfold thickness measurement	Mesure de l'épaisseur anormale du pli cutané
HP:0033171	Abnormal triceps skinfold thickness	Épaisseur anormale du pli cutané du triceps
HP:0033172	Increased triceps skinfold thickness	Augmentation de l'épaisseur du pli cutané du triceps
HP:0033173	Milky appearance of bronchoalveolar lavage fluid	Aspect laiteux du liquide de lavage broncho-alvéolaire
HP:0033174	Bloody bronchoalveolar lavage fluid	Liquide de lavage broncho-alvéolaire sanglant
HP:0033175	Elevated circulating 5-oxoproline concentration	Concentration élevée de 5-oxoproline circulante
HP:0033176	Submandibular lymph node enlargement	Hypertrophie des ganglions lymphatiques sous-maxillaires
HP:0033177	Elevated circulating suberic acid concentration	Concentration élevée d’acide subérique circulant
HP:0033178	Increased circulating interleukin 8 concentration	Augmentation de la concentration en interleukine 8 en circulation
HP:0033179	Elevated circulating aconitic acid concentration	Concentration élevée d’acide aconitique circulant
HP:0033180	Torsion of appendix of testis	Torsion de l'appendice du testicule
HP:0033181	Spinal epidural abscess	Abcès épidural rachidien
HP:0033182	Increased circulating cathepsin D level	Augmentation du taux de cathepsine D circulante
HP:0033183	Bilobed right lung	Poumon droit bilobé
HP:0033186	Misalignment of the pulmonary veins	Désalignement des veines pulmonaires
HP:0033187	Hyperimidodipeptiduria	Hyperimidodipeptidurie
HP:0033188	Cystic acne	Acné kystique
HP:0033189	Radiculomegaly	Radiculomégalie
HP:0033190	Hypertrichotic hyperpigmented patch	Patch hyperpigmenté hypertrichotique
HP:0033191	Increased circulating selenium concentration	Augmentation de la concentration de sélénium en circulation
HP:0033192	Decreased circulating selenium concentration	Diminution de la concentration de sélénium circulant
HP:0033193	Ballooning hepatocyte degeneration	Dégénérescence hépatocytaire ballonnante
HP:0033194	Perioral erythema	Érythème périoral
HP:0033195	Perianal erythema	Érythème périanal
HP:0033196	Portal inflammation	Inflammation portale
HP:0033197	Hepatic lobular inflammation	Inflammation lobulaire hépatique
HP:0033199	Increased circulating interleukin 10 concentration	Augmentation de la concentration en interleukine 10 en circulation
HP:0033200	Triceps hyporeflexia	Hyporéflexie du triceps
HP:0033201	Biceps hyporeflexia	Hyporéflexie du biceps
HP:0033202	Brachioradialis hyporeflexia	Hyporéflexie brachioradiale
HP:0033203	Brachioradialis hyperreflexia	Hyperréflexie brachioradiale
HP:0033204	Triceps hyperreflexia	Hyperréflexie du triceps
HP:0033205	Biceps hyperreflexia	Hyperréflexie du biceps
HP:0033206	Hyperactive Achilles reflex	Réflexe d'Achille hyperactif
HP:0033207	Increased CD21low B cell proportion	Augmentation de la proportion de lymphocytes B CD21low
HP:0033208	Alveolar capillary dysplasia	Dysplasie capillaire alvéolaire
HP:0033209	Acinar dysplasia	Dysplasie acineuse
HP:0033210	Congenital alveolar dysplasia	Dysplasie alvéolaire congénitale
HP:0033211	Decreased total iron binding capacity	Diminution de la capacité totale de liaison du fer
HP:0033212	Abnormal total iron binding capacity	Capacité totale anormale de liaison du fer
HP:0033213	Elevated urine suberic acid level	Niveau élevé d'acide subérique dans l'urine
HP:0033214	Recurrent viral pneumonia	Pneumonie virale récurrente
HP:0033215	Obliterative abnormality of the renal glomerulus	Anomalie oblitérante du glomérule rénal
HP:0033216	Glomerular hyalinosis	Hyalinose glomérulaire
HP:0033217	Perihilar glomerular hyalinosis	Hyalinose glomérulaire périhilaire
HP:0033218	Glomerular hyalinosis at the tubular pole	Hyalinose glomérulaire au pôle tubulaire
HP:0033219	Glomerular hyalinosis away from the vascular and tubular poles	Hyalinose glomérulaire éloignée des pôles vasculaires et tubulaires
HP:0033220	2-ethylhydracylic aciduria	Acidurie 2-éthylhydracylique
HP:0033221	Increased CD4:CD8 ratio	Augmentation du rapport CD4:CD8
HP:0033222	Inverted CD4:CD8 ratio	Rapport CD4:CD8 inversé
HP:0033223	Abnormal glomerular parietal epithelial cell morphology	Morphologie anormale des cellules épithéliales pariétales glomérulaires
HP:0033224	Glomerular parietal epithelial cell hyperplasia	Hyperplasie des cellules épithéliales pariétales glomérulaires
HP:0033225	Glomerular parietal epithelial cell hypertrophy	Hypertrophie des cellules épithéliales pariétales glomérulaires
HP:0033226	Bowman capsular hyaline drops	Gouttes hyalines capsulaires Bowman
HP:0033227	Glomerular synechial adhesion	Adhésion synéchiale glomérulaire
HP:0033228	Triceps areflexia	Aréflexie des triceps
HP:0033229	Brachioradialis areflexia	Aréflexie brachioradiale
HP:0033230	Biceps areflexia	Aréflexie du biceps
HP:0033231	Abnormal glomerular mesangial cellularity	Cellularité mésangiale glomérulaire anormale
HP:0033232	Abnormal glomerular mesangial matrix morphology	Morphologie anormale de la matrice mésangiale glomérulaire
HP:0033233	Paramesangial deposits	Dépôts paramésangiaux
HP:0033234	Mesangial hyaline deposition	Dépôt hyalin mésangial
HP:0033235	Difficulty descending stairs	Difficulté à descendre les escaliers
HP:0033236	Cognitive fatigue	Fatigue cognitive
HP:0033237	Visceral epithelial cell detachment	Détachement des cellules épithéliales viscérales
HP:0033238	Podocyte microvillous transformation	Transformation microvilleuse des podocytes
HP:0033239	Visceral epithelial cell capping	Coiffage des cellules épithéliales viscérales
HP:0033240	Elevated RV/TLC ratio	Rapport RV/CCM élevé
HP:0033241	Polyalveolar lobe	Lobe polyalvéolaire
HP:0033242	Horseshoe lung	Poumon en fer à cheval
HP:0033243	Pulmonary necrosis	Nécrose pulmonaire
HP:0033244	Glycogen accumulation in pulmonary interstitial cells	Accumulation de glycogène dans les cellules interstitielles pulmonaires
HP:0033245	Abnormal alveolar type II pneumocyte morphology	Morphologie anormale des pneumocytes alvéolaires de type II
HP:0033246	Type II pneumocyte hypertrophy	Hypertrophie pneumocytaire de type II
HP:0033247	Pulmonary amyloidosis	Amylose pulmonaire
HP:0033248	Multiple pulmonary interstitial hyalinized nodules	Nodules hyalinisés interstitiels pulmonaires multiples
HP:0033249	Focal substantia nigra T2 hyperintensity	Hyperintensité focale en T2 de la substance noire
HP:0033250	Nailfold capillary tortuosity	Tortuosité capillaire du repli de l'ongle
HP:0033251	Elevated residual volume	Volume résiduel élevé
HP:0033252	Palmar hyperlinearity	Hyperlinéarité palmaire
HP:0033253	Reduced circulating interferon gamma concentration	Concentration réduite d’interféron gamma circulant
HP:0033254	Anorectal stricture	Sténose ano-rectale
HP:0033255	Congenital lobar overinflation	Surinflation lobaire congénitale
HP:0033256	Pancolitis	Pancolite
HP:0033257	Delayed ability to walk with support	Capacité retardée à marcher avec appui
HP:0033258	Sudden unexpected death in epilepsy	Mort subite et inattendue due à l'épilepsie
HP:0033259	Non-motor seizure	Crise non motrice
HP:0033260	Livedo racemosa	Livedo racemosa
HP:0033261	Renal artery aneurysm	Anévrisme de l'artère rénale
HP:0033262	Transphyseal fracture of the distal humerus	Fracture transphysaire de l'humérus distal
HP:0033263	Absent platelet dense granules	Absence de granules denses en plaquettes
HP:0033264	Enlarged platelet dense granules	Granules denses de plaquettes élargies
HP:0033265	Podocyte myelin figures	Chiffres de myéline podocytaire
HP:0033266	Glomerular pseudocrescent	Pseudocroissant glomérulaire
HP:0033267	Abnormal glomerular capillary lumen morphology	Morphologie anormale de la lumière capillaire glomérulaire
HP:0033268	Deflation of the glomerular tuft	Dégonflage de la touffe glomérulaire
HP:0033269	Glomerular capillary collapse	Effondrement capillaire glomérulaire
HP:0033270	Glomerular capillary congestion	Congestion capillaire glomérulaire
HP:0033271	Glomerular capillary microaneurysm	Microanévrisme capillaire glomérulaire
HP:0033272	Abnormal glomerular endothelial cell morphology	Morphologie anormale des cellules endothéliales glomérulaires
HP:0033273	Loss of glomerular endothelial cell fenestration	Perte de fenestration des cellules endothéliales glomérulaires
HP:0033274	Glomerular endotheliosis	Endothéliose glomérulaire
HP:0033275	Glomerular endothelial tubuloreticular inclusion	Inclusion tubuloréticulaire endothéliale glomérulaire
HP:0033277	Glomerular fibrinoid necrosis	Nécrose fibrinoïde glomérulaire
HP:0033278	Reduced CD95-induced lymphocyte apoptosis	Apoptose lymphocytaire réduite induite par CD95
HP:0033279	Enterocutaneous fistula	Fistule entérocutanée
HP:0033280	Paratracheal lymphadenopathy	Lymphadénopathie paratrachéale
HP:0033281	Circulating nucleated red blood cells	Globules rouges nucléés circulants
HP:0033282	Abnormal glomerular basement membrane morphology	Morphologie anormale de la membrane basale glomérulaire
HP:0033283	Segmentally thickened glomerular basement membrane	Membrane basale glomérulaire segmentairement épaissie
HP:0033284	Diffusely thickened glomerular basement membrane	Membrane basale glomérulaire diffusement épaissie
HP:0033285	Thickened glomerular basement membranes with no electron dense deposits	Membranes basales glomérulaires épaissies sans dépôts denses en électrons
HP:0033286	Thickened glomerular basement membranes with electron dense deposits	Membranes basales glomérulaires épaissies avec dépôts denses en électrons
HP:0033287	Glomerular basement membrane lucencies	Lucitudes de la membrane basale glomérulaire
HP:0033288	Glomerular basement membrane spikes	Pointes de membrane basale glomérulaire
HP:0033289	Glomerular basement membrane wrinkling	Rides de la membrane basale glomérulaire
HP:0033290	Glomerular subendothelial widening	Élargissement sous-endothélial glomérulaire
HP:0033291	Glomerular karyhorrhectic debris	Débris caryhorrhectiques glomérulaires
HP:0033292	Glomerular fibrin thrombus	Thrombus de fibrine glomérulaire
HP:0033293	Glomerular hyaline pseudothrombus	Pseudothrombus hyalin glomérulaire
HP:0033294	Glomerular lipoprotein thrombus	Thrombus lipoprotéique glomérulaire
HP:0033295	Mesangial Immune complex deposition	Dépôt mésangial du complexe immunitaire
HP:0033296	Binucleated visceral epithelial cells	Cellules épithéliales viscérales binucléées
HP:0033297	Multinucleated visceral epithelial cells	Cellules épithéliales viscérales multinucléées
HP:0033298	Abnormal circulating complement factor H related protein 1 concentration	Concentration anormale de protéine 1 liée au facteur H du complément circulant
HP:0033299	Reduced circulating complement factor H related protein 1 concentration	Concentration réduite de protéine 1 liée au facteur H du complément circulant
HP:0033300	Increased circulating complement factor H related protein 1 concentration	Augmentation de la concentration en protéine 1 liée au facteur H du complément circulant
HP:0033301	Elevated circulating 1-methylhistidine concentration	Concentration élevée de 1-méthylhistidine circulante
HP:0033302	Elevated circulating 4-hydroxyphenylacetic acid concentration	Concentration élevée d’acide 4-hydroxyphénylacétique circulant
HP:0033303	Elevated urinary monocarboxylic acid level	Niveau d'acide monocarboxylique urinaire élevé
HP:0033305	Abnormal circulating fetuin A concentration	Concentration anormale de fétuine A en circulation
HP:0033306	Decreased circulating fetuin A concentration	Diminution de la concentration de fétuine A circulante
HP:0033307	Increased circulating fetuin A concentration	Augmentation de la concentration de fétuine A en circulation
HP:0033308	Patellar overgrowth	Croissance rotulienne excessive
HP:0033309	Ileoileal intussusception	Invagination iléo-iléale
HP:0033310	Osmotic diarrhea	Diarrhée osmotique
HP:0033311	Abdominal aortic dissection	Dissection de l'aorte abdominale
HP:0033312	Abnormal Bowman space morphology	Morphologie anormale de l'espace Bowman
HP:0033313	Urinary space collagenization	Collagénisation des espaces urinaires
HP:0033314	Visceral epithelial cell hyperplasia	Hyperplasie des cellules épithéliales viscérales
HP:0033315	Visceral epithelial hyaline droplets	Gouttelettes hyalines épithéliales viscérales
HP:0033316	Glomerular crescent formation	Formation d'un croissant glomérulaire
HP:0033317	Cellular crescent	Croissant cellulaire
HP:0033318	Fibrocellular crescent	Croissant fibrocellulaire
HP:0033319	Fibrous crescent	Croissant fibreux
HP:0033320	Mesangial cell loss	Perte de cellules mésangiales
HP:0033321	Glomerular obsolescence	Obsolescence glomérulaire
HP:0033322	Glomerular capillary wall duplication without cellular interposition	Duplication de la paroi capillaire glomérulaire sans interposition cellulaire
HP:0033323	Glomerular capillary wall duplication with cellular interposition	Duplication de la paroi capillaire glomérulaire avec interposition cellulaire
HP:0033324	Elevated circulating homovanillic acid concentration	Concentration élevée d’acide homovanillique circulant
HP:0033325	Elevated circulating sebacic acid concentration	Concentration élevée d’acide sébacique circulant
HP:0033326	Elevated circulating hydroxyphenlyllactic acid concentration	Concentration élevée d’acide hydroxyphényllactique circulant
HP:0033327	Nail psoriasis	Psoriasis des ongles
HP:0033328	Type II pneumocyte hyperplasia	Hyperplasie pneumocytaire de type II
HP:0033329	Abnormal postural reflex	Réflexe postural anormal
HP:0033330	Impaired neck-righting reflex	Réflexe de redressement du cou altéré
HP:0033331	Acute phase response	Réponse en phase aiguë
HP:0033332	Elevated circulating amyloid A concentration	Concentration élevée d’amyloïde A circulante
HP:0033333	Jaw contracture	Contracture de la mâchoire
HP:0033334	Abnormal embryonic development	Développement embryonnaire anormal
HP:0033335	Abnormal preimplantation embryonic development	Développement embryonnaire préimplantatoire anormal
HP:0033336	Zygotic cleavage failure	Échec du clivage zygotique
HP:0033337	Abnormal gametogenesis	Gamétogenèse anormale
HP:0033338	Abnormal female meiosis	Méiose féminine anormale
HP:0033339	Increased circulating inosine concentration	Augmentation de la concentration d’inosine circulante
HP:0033340	Increased circulating guanosine concentration	Augmentation de la concentration circulante de guanosine
HP:0033341	Elevated circulating sitosterol concentration	Concentration élevée de sitostérol circulant
HP:0033342	Anti-aquaporin 4 antibody positivity	Positivité des anticorps anti-aquaporine 4
HP:0033343	Mucoid diarrhea	Diarrhée mucoïde
HP:0033344	Pleural cobblestoning	Pavé pleural
HP:0033345	Neuralgia	Névralgie
HP:0033346	Psychic epileptic aura	Aura épileptique psychique
HP:0033347	Cognitive epileptic aura	Aura épileptique cognitive
HP:0033348	Epileptic aura	Aura épileptique
HP:0033350	Elevated forced expiratory volume in one second	Volume expiratoire forcé élevé en une seconde
HP:0033351	Candida esophagitis	Œsophagite à Candida
HP:0033352	Pulmonary hypertensive crisis	Crise d'hypertension pulmonaire
HP:0033353	Abnormal blood vessel morphology	Morphologie anormale des vaisseaux sanguins
HP:0033354	Abnormal urine metabolite level	Niveau anormal de métabolite urinaire
HP:0033355	Increased urine deoxypyridinoline level	Augmentation du taux urinaire de désoxypyridinoline
HP:0033356	Elevated circulating o-phosphoserine concentration	Concentration élevée d’o-phosphosérine circulante
HP:0033357	Limited head rotation	Rotation de la tête limitée
HP:0033358	Abnormal urine osmolality	Osmolalité urinaire anormale
HP:0033359	Hyperosthenuria	Hyperosthénurie
HP:0033360	Impaired ability to shift attention	Capacité altérée à détourner l’attention
HP:0033361	Nasal ulcer	Ulcère nasal
HP:0033362	Recurrent coughing spasms	Spasmes de toux récurrents
HP:0033363	Hyaline membranes	Membranes hyalines
HP:0033364	Lipoid pneumonia	Pneumonie lipoïde
HP:0033365	Endogenous lipoid pneumonia	Pneumonie lipoïde endogène
HP:0033366	Exogenous lipoid pneumonia	Pneumonie lipoïde exogène
HP:0033367	Orthodeoxia	Orthodéoxie
HP:0033368	Platypnea	Platypnée
HP:0033369	Cavitating leukodystrophy	Leucodystrophie cavitaire
HP:0033370	Bronchial telangiectasia	Télangiectasie bronchique
HP:0033371	Bronchocentric granulomatosis	Granulomatose bronchocentrique
HP:0033372	Abnormal KCO	KCO anormal
HP:0033373	Increased KCO	Augmentation du KCO
HP:0033374	Decreased KCO	Diminution du KCO
HP:0033375	Anthracosis	Anthracose
HP:0033376	Alveolar septal thickening	Épaississement septal alvéolaire
HP:0033377	Increased airway neuroendocrine cells	Augmentation des cellules neuroendocrines des voies respiratoires
HP:0033378	Increased airway neuroepithelial bodies	Augmentation des corps neuroépithéliaux des voies respiratoires
HP:0033379	Bilateral superior vena cava	Veine cave supérieure bilatérale
HP:0033380	Nasal chondritis	Chondrite nasale
HP:0033381	Elevated circulating stearoylcarnitine concentration	Concentration élevée de stéaroylcarnitine circulante
HP:0033382	Elevated circulating palmitoylcarnitine concentration	Concentration élevée de palmitoylcarnitine circulante
HP:0033383	Decreased compound muscle action potential amplitude	Diminution de l’amplitude du potentiel d’action musculaire composé
HP:0033384	Elevated urinary collagen degradation products	Produits de dégradation du collagène urinaire élevés
HP:0033385	Elevated urine pyridinoline level	Taux urinaire élevé de pyridinoline
HP:0033386	Abnormal circulating collagen degradation product concentration	Concentration anormale de produits de dégradation du collagène en circulation
HP:0033387	Elevated circulating pyridinoline concentration	Concentration élevée de pyridinoline circulante
HP:0033388	Abnormal bronchial artery morphology	Morphologie anormale de l'artère bronchique
HP:0033389	Bronchopulmonary anastomosis	Anastomose broncho-pulmonaire
HP:0033390	Bronchial artery dilatation	Dilatation de l'artère bronchique
HP:0033391	Bronchial artery hypertrophy	Hypertrophie de l'artère bronchique
HP:0033392	Perivascular pre-capillary pulmonary artery inflammation	Inflammation périvasculaire de l'artère pulmonaire pré-capillaire
HP:0033393	Irregularly shaped sperm tail	Queue de sperme de forme irrégulière
HP:0033394	Anti-carbonic anhydrase II antibody positivity	Positivité des anticorps anti-anhydrase carbonique II
HP:0033395	Antilactoferrin antibody positivity	Positivité des anticorps antilactoferrine
HP:0033396	Glomerular extracapillary fibrin	Fibrine extracapillaire glomérulaire
HP:0033397	Bowman-space proteinaceous debris	Débris protéiques de l'espace Bowman
HP:0033398	Pleural plaque	Plaque pleurale
HP:0033399	Persistent fever	Fièvre persistante
HP:0033400	Acute abdomen	Abdomen aigu
